player_name,Pos,Age,Tm,G,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,salary,PTS_Per_G,TRB_Per_G,AST_Per_G,STL_Per_G,BLK_Per_G,TOV_Per_G,MP_z,MP_category
Steven Adams,C,25,OKC,80,2669,481,809,0.595,0,2,0,481,807,0.596,0.595,146,292,0.5,24157304,13.85,9.5,1.55,1.462,0.95,1.688,1.9605313877447963,H
Bam Adebayo,C,21,MIA,82,1913,280,486,0.576,3,15,0.2,277,471,0.588,0.579,166,226,0.735,2955840,8.89,7.28,2.244,0.866,0.793,1.476,1.0725159258855606,H
LaMarcus Aldridge,C,33,SAS,81,2687,684,1319,0.519,10,42,0.238,674,1277,0.528,0.522,349,412,0.847,22347015,21.321,9.185,2.395,0.531,1.321,1.778,1.981674613027159,H
Jarrett Allen,C,20,BRK,80,2096,335,568,0.59,6,45,0.133,329,523,0.629,0.595,197,278,0.709,2034120,10.912,8.4,1.375,0.538,1.5,1.288,1.287472049589582,H
AlFarouq Aminu,PF,28,POR,81,2292,257,593,0.433,96,280,0.343,161,313,0.514,0.514,150,173,0.867,6957105,9.383,7.531,1.284,0.84,0.407,0.889,1.5176982804419763,H
Kyle Anderson,SF,25,MEM,43,1281,150,276,0.543,9,34,0.265,141,242,0.583,0.56,37,64,0.578,8641000,8.047,5.837,2.977,1.256,0.86,1.349,0.3301537937492682,H
Giannis Antetokounmpo,PF,24,MIL,72,2358,721,1247,0.578,52,203,0.256,669,1044,0.641,0.599,500,686,0.729,24157304,27.694,12.472,5.889,1.278,1.528,3.722,1.5952234398106397,H
OG Anunoby,SF,21,TOR,67,1352,183,404,0.453,67,202,0.332,116,202,0.574,0.536,36,62,0.581,1952760,7,2.94,0.701,0.687,0.328,0.821,0.4135520712519213,H
Ryan Arcidiacono,PG,24,CHI,81,1961,187,418,0.447,81,217,0.373,106,201,0.527,0.544,89,102,0.873,1349383,6.716,2.704,3.321,0.802,0.049,0.778,1.128897859971861,H
DJ Augustin,PG,31,ORL,81,2269,318,677,0.47,131,311,0.421,187,366,0.511,0.566,181,209,0.866,7250000,11.704,2.506,5.259,0.642,0.049,1.58,1.490681937025624,H
Deandre Ayton,C,20,PHO,71,2183,509,870,0.585,0,4,0,509,866,0.588,0.585,141,189,0.746,8175840,16.324,10.268,1.761,0.859,0.944,1.775,1.389664305121002,H
